Block,Tray,Well,Region,Location,Site,Sex,CW,Duration,Status,Temperature,Notes
2,1,D3,North,Baruch,Bly Creek,Male,5.98,74,1,10.03,air temp
3,2,G5,North,Baruch,Bly Creek,Female,4.78,122,1,8.2,air temp
2,1,C3,North,Baruch,Bly Creek,Female,4.92,218,1,4,
3,2,E6,North,Baruch,Bly Creek,Male,5.46,218,1,2,
1,3,I2,North,Baruch,Bly Creek,Male,11.33,242,1,3.5,
1,3,K8,North,Baruch,Bly Creek,Male,6.64,242,1,3.5,
3,1,C6,North,Baruch,Bly Creek,Male,7.08,249,1,5,
3,1,D8,North,Baruch,Bly Creek,Male,4.81,249,1,5,
3,3,J1,North,Baruch,Bly Creek,Female,9.62,249,1,5,
3,3,K3,North,Baruch,Bly Creek,Male,5.78,249,1,5,
1,3,K2,North,Baruch,Bly Creek,Male,10.53,273,1,8,
2,1,A4,North,Baruch,Bly Creek,Female,6.93,273,1,7.5,
2,2,F3,North,Baruch,Bly Creek,Male,5.96,273,1,7,
3,1,B5,North,Baruch,Bly Creek,Male,6.02,273,1,7,
3,1,C2,North,Baruch,Bly Creek,Male,5.88,273,1,7,
3,3,K7,North,Baruch,Bly Creek,Female,4.72,290,1,3,
1,2,G1,North,Baruch,Bly Creek,Male,6.26,314,1,5,
3,3,J4,North,Baruch,Bly Creek,Female,4.75,338,1,5,
1,1,D7,North,Baruch,Bly Creek,Female,5.96,362,1,6.5,Molt
1,3,K3,North,Baruch,Bly Creek,Male,5.2,362,1,7,Molt
2,3,J2,North,Baruch,Bly Creek,Female,5.71,362,1,6.5,
2,2,E1,North,Baruch,Bly Creek,Male,6.71,386,1,7,Molt
1,2,E1,North,Baruch,Bly Creek,Female,5.19,393,1,11,Molt
2,1,B4,North,Baruch,Bly Creek,Female,5.37,393,1,10.5,Molt
1,1,B7,North,Baruch,Bly Creek,Female,6.25,410,1,7.5,Molt
1,3,K6,North,Baruch,Bly Creek,Female,7.71,410,1,7.5,Molt
2,3,I5,North,Baruch,Bly Creek,Female,5.76,410,1,7.5,Molt
2,3,J1,North,Baruch,Bly Creek,Male,4.81,410,1,7.5,Molt
1,1,B5,North,Baruch,Bly Creek,Female,6.51,434,1,9.5,Molt
2,3,K3,North,Baruch,Bly Creek,Male,8.37,434,0,,Survived
2,2,E2,North,Baruch,Town Creek,Male,6.6,129,1,6.7,air temp
3,2,F8,North,Baruch,Town Creek,Male,11.51,129,1,6.7,air temp
1,3,I5,North,Baruch,Town Creek,Male,11.22,146,1,7,
3,1,D3,North,Baruch,Town Creek,Male,8.38,194,1,3,
3,3,L6,North,Baruch,Town Creek,Male,5.91,201,1,5,
3,3,L8,North,Baruch,Town Creek,Male,7.27,218,1,2.5,
1,2,F5,North,Baruch,Town Creek,Female,4.75,225,1,7,
2,2,G6,North,Baruch,Town Creek,Female,7.83,242,1,2,
3,3,L2,North,Baruch,Town Creek,Female,6.82,242,1,2.5,
2,2,G3,North,Baruch,Town Creek,Male,4.63,249,1,5,
2,3,I1,North,Baruch,Town Creek,Male,7.56,249,1,5.5,
2,3,J7,North,Baruch,Town Creek,Male,8.25,249,1,5.5,
3,1,B7,North,Baruch,Town Creek,Male,8.39,249,1,5,
3,1,D7,North,Baruch,Town Creek,Female,6.71,249,1,5,
2,3,K2,North,Baruch,Town Creek,Female,5.5,273,1,7.5,
3,1,C5,North,Baruch,Town Creek,Female,5.96,273,1,7,
1,2,F1,North,Baruch,Town Creek,Male,6.06,290,1,4,
1,3,J3,North,Baruch,Town Creek,Male,7.52,290,1,4.5,
1,2,F8,North,Baruch,Town Creek,Male,4.6,297,1,5.5,
1,1,C6,North,Baruch,Town Creek,Female,4.93,314,1,5,
1,3,I3,North,Baruch,Town Creek,Male,6.15,314,1,5,
3,1,D2,North,Baruch,Town Creek,Female,6.02,314,1,4,
2,2,F6,North,Baruch,Town Creek,Female,8.84,321,1,5,
2,2,H1,North,Baruch,Town Creek,Male,5.9,338,1,5,
2,2,F2,North,Baruch,Town Creek,Female,5.65,386,1,7,Molt
2,3,J4,North,Baruch,Town Creek,Female,6.04,410,1,7.5,Molt
3,3,K1,North,Baruch,Town Creek,Female,7.18,410,1,7,Molt
1,1,B2,North,Baruch,Town Creek,Female,6.26,434,1,9.5,Molt
1,3,L3,North,Baruch,Town Creek,Female,6.38,434,1,9.5,Molt
2,1,A2,North,Baruch,Town Creek,Female,7.24,434,1,9.5,Molt
1,1,C5,North,Baruch,Town Creek,Female,5.93,434,0,,Survived
1,2,H6,North,Charleston,Grice,Male,10.59,74,1,9.5,
1,2,F4,North,Charleston,Grice,Male,4.69,153,1,7,
3,3,I7,North,Charleston,Grice,Female,7.8,170,1,5,
2,3,I3,North,Charleston,Grice,Male,8.74,194,1,4.5,
3,1,B4,North,Charleston,Grice,Male,5.68,194,1,3,
3,2,H7,North,Charleston,Grice,Male,5.03,194,1,3,
3,2,F2,North,Charleston,Grice,Male,3.56,201,1,5,
3,2,F4,North,Charleston,Grice,Male,6.6,201,1,5,
1,3,J4,North,Charleston,Grice,Male,6.92,218,1,4.5,
2,3,L2,North,Charleston,Grice,Male,6.26,218,1,3.5,
3,1,C3,North,Charleston,Grice,Male,7.7,225,1,5.5,
3,1,C8,North,Charleston,Grice,Female,4.34,225,1,5.5,
2,2,E8,North,Charleston,Grice,Male,8.63,242,1,2,
3,1,A5,North,Charleston,Grice,Female,5.11,242,1,2,
3,1,D6,North,Charleston,Grice,Female,5.52,242,1,2,
1,2,G6,North,Charleston,Grice,Female,5.46,249,1,5.5,
1,2,G8,North,Charleston,Grice,Female,5.96,249,1,5.5,
2,2,E7,North,Charleston,Grice,Male,4.56,249,1,5,
1,2,H3,North,Charleston,Grice,Female,5.59,266,1,3,
1,3,I4,North,Charleston,Grice,Female,4.1,266,1,3.5,
2,1,B7,North,Charleston,Grice,Female,6.7,266,1,3,
2,2,H2,North,Charleston,Grice,Female,6.45,266,1,2.5,
2,2,H8,North,Charleston,Grice,Female,6.22,290,1,3.5,
2,3,I7,North,Charleston,Grice,Female,7.19,297,1,5,
1,1,C2,North,Charleston,Grice,Male,6.41,321,1,5.5,
2,2,G2,North,Charleston,Grice,Female,5.05,362,1,6,
3,3,K5,North,Charleston,Grice,Female,4.26,386,1,7,Molt
1,3,L6,North,Charleston,Grice,Male,5.9,434,1,9.5,Molt
1,1,C8,North,Charleston,Grice,Female,6.35,434,0,,Survived
2,3,K7,North,Charleston,Bowens Island,Female,5.17,33,1,10,Molt
2,3,I6,North,Charleston,Bowens Island,Male,7.69,177,1,7,
2,3,L6,North,Charleston,Bowens Island,Female,6.7,194,1,4.5,
3,2,G8,North,Charleston,Bowens Island,Male,5.94,225,1,5,
3,3,J5,North,Charleston,Bowens Island,Male,7.15,225,1,5.5,
1,1,C1,North,Charleston,Bowens Island,Male,5.73,242,1,3,
2,1,B2,North,Charleston,Bowens Island,Male,5.28,242,1,3,
2,3,J6,North,Charleston,Bowens Island,Male,4.85,242,1,3,
3,1,B2,North,Charleston,Bowens Island,Female,8.26,242,1,2,
3,1,A6,North,Charleston,Bowens Island,Female,5.17,249,1,5,
3,2,F5,North,Charleston,Bowens Island,Female,4.91,249,1,4.5,
1,1,A2,North,Charleston,Bowens Island,Male,7.44,266,1,3.5,
1,1,D1,North,Charleston,Bowens Island,Male,4.86,266,1,3.5,
1,2,G3,North,Charleston,Bowens Island,Male,7.01,266,1,3,
1,3,K7,North,Charleston,Bowens Island,Female,6.95,273,1,8,
2,1,C2,North,Charleston,Bowens Island,Female,6.99,273,1,7.5,
3,1,A1,North,Charleston,Bowens Island,Male,9.78,273,1,7,
3,2,H3,North,Charleston,Bowens Island,Male,4.27,273,1,6.5,
3,3,K6,North,Charleston,Bowens Island,Female,4.59,290,1,3,
1,2,E4,North,Charleston,Bowens Island,Female,5.94,338,1,5.5,
1,2,E6,North,Charleston,Bowens Island,Male,7.74,338,1,5.5,
2,2,F8,North,Charleston,Bowens Island,Female,5.74,338,1,5,
2,2,F5,North,Charleston,Bowens Island,Male,5.19,362,1,6,Molt
3,3,L7,North,Charleston,Bowens Island,Male,4.21,362,1,5.5,
1,1,A1,North,Charleston,Bowens Island,Female,4.61,386,1,7.5,Molt
2,1,B1,North,Charleston,Bowens Island,Female,5.03,386,1,7.5,Molt
2,2,F4,North,Charleston,Bowens Island,Male,5.38,386,1,7,Molt
3,1,A3,North,Charleston,Bowens Island,Female,5.42,434,1,9.5,Molt
1,3,I7,North,Charleston,Bowens Island,Female,6.07,434,0,,Survived
1,3,K5,North,Charleston,Bowens Island,Female,5.56,434,0,,Survived
1,1,D2,South,Hilton Head,Pinckney,Female,4.88,74,1,9.5,Molt
2,2,F7,South,Hilton Head,Pinckney,Male,8.12,98,1,9.7,air temp
3,2,G2,South,Hilton Head,Pinckney,Male,9.7,129,1,6.7,air temp
3,2,G6,South,Hilton Head,Pinckney,Male,7.45,129,1,6.7,air temp
1,2,F7,South,Hilton Head,Pinckney,Male,7.79,146,1,7,
1,1,A3,South,Hilton Head,Pinckney,Male,7.69,170,1,5,
1,3,J8,South,Hilton Head,Pinckney,Male,5.65,170,1,5.5,
2,2,F1,South,Hilton Head,Pinckney,Male,8.08,170,1,4.5,
1,3,L7,South,Hilton Head,Pinckney,Female,5.78,194,1,5,
2,3,J8,South,Hilton Head,Pinckney,Male,8.44,194,1,4.5,
3,3,J3,South,Hilton Head,Pinckney,Female,5.78,201,1,5,
1,1,C7,South,Hilton Head,Pinckney,Male,8.86,218,1,4.5,
1,2,E8,South,Hilton Head,Pinckney,Female,5.1,218,1,3.5,
2,1,A8,South,Hilton Head,Pinckney,Male,6.82,218,1,4,
2,1,C7,South,Hilton Head,Pinckney,Male,7.57,218,1,4,
2,2,E5,South,Hilton Head,Pinckney,Male,5.74,218,1,3,
3,3,I4,South,Hilton Head,Pinckney,Female,8.39,218,1,2.5,
3,3,K8,South,Hilton Head,Pinckney,Male,7.71,218,1,2.5,
3,2,E5,South,Hilton Head,Pinckney,Male,7.9,225,1,5,
3,2,F7,South,Hilton Head,Pinckney,Female,6.12,225,1,5,
3,2,G1,South,Hilton Head,Pinckney,Male,4.74,249,1,4.5,
3,3,L3,South,Hilton Head,Pinckney,Male,6.22,249,1,5,
2,1,A6,South,Hilton Head,Pinckney,Female,6.84,266,1,3,
3,2,E8,South,Hilton Head,Pinckney,Male,4.05,266,1,2.5,
3,3,J2,South,Hilton Head,Pinckney,Female,5.9,273,1,7,
1,1,A6,South,Hilton Head,Pinckney,Male,4.85,290,1,4,
2,2,H7,South,Hilton Head,Pinckney,Female,5.59,290,1,3.5,
1,2,E7,South,Hilton Head,Pinckney,Female,7.03,314,1,5,
2,1,C8,South,Hilton Head,Pinckney,Male,3.23,321,1,5,
2,1,D8,South,Hilton Head,Pinckney,Female,4.87,321,1,5,
2,3,K8,South,Hilton Head,Pinckney,Female,6.95,321,1,5,
1,3,J2,South,Hilton Head,Pinckney,Female,5.17,362,1,7,
2,2,G1,South,Hilton Head,Pinckney,Female,5.57,362,1,6,
3,3,J7,South,Hilton Head,Pinckney,Female,5.79,362,1,5.5,
2,1,D2,South,Hilton Head,Pinckney,Female,4.35,386,1,7.5,Molt
3,2,E2,South,Savannah,Extension Office,Male,6.91,98,1,9.7,air temp
2,1,C5,South,Savannah,Extension Office,Male,5.96,146,1,6,
1,2,H1,South,Savannah,Extension Office,Male,8.23,170,1,5,
2,3,J3,South,Savannah,Extension Office,Female,4.34,194,1,4.5,
3,1,A7,South,Savannah,Extension Office,Female,5.32,201,1,5.5,
2,2,G7,South,Savannah,Extension Office,Male,7.79,218,1,3,
3,1,B6,South,Savannah,Extension Office,Male,7.01,218,1,2.5,
